windows_software,linux_variant
"3D Studio MAX",Blender
ACDSee,Geeqie
"Adobe Acrobat","Scribus; Inkscape; Okular"
"Adobe Acrobat Distiller",LibreOffice
"Adobe Acrobat Reader","Evince; Zathura; Okular"
"Adobe Animate","Blender; Krita"
"Adobe Audition (formerly Cool Edit Pro)","Audacity; DaVinci Resolve"
"Adobe Illustrator",Inkscape
"Adobe Photoshop","GIMP; ImageMagick; Krita; Darktable"
"Adobe Premiere Elements","Kdenlive; DaVinci Resolve"
"Ajax Animator","Blender; Krita"
"Aladin Sky Atlas",Stellarium
"Alcohol 120%",HandBrake
Animaker,"Blender; Krita"
AntiVir,ClamAV
Apache,Apache
Ardour,"Audacity; DaVinci Resolve"
Aseprite,"Blender; Krita"
aTunes,"VLC; Strawberry"
Audacious,"VLC; Strawberry"
Audacity,"Audacity; DaVinci Resolve"
"Audio Catalyst","Audacity; DaVinci Resolve"
"Autodesk Inventor",FreeCAD
Avast,ClamAV
AVG,ClamAV
Avidemux,"Kdenlive; DaVinci Resolve"
"Bitwig Studio","Audacity; DaVinci Resolve"
Blender,"Blender; Krita"
Brave,"Firefox; Chromium; Brave; Vivaldi; LibreWolf"
Cakewalk/Sonar,"Audacity; DaVinci Resolve"
CATIA,FreeCAD
CDex,"Audacity; DaVinci Resolve"
Celestia,Stellarium
Chrome,"Firefox; Chromium; Brave; Vivaldi; LibreWolf"
"Cinema 4D",Blender
ClamAV,ClamAV
ClamWin,ClamAV
"Claws Mail","Thunderbird; Claws Mail"
Clementine,"VLC; Strawberry"
"Corel Draw",Inkscape
"Corel Photo-Paint","GIMP; ImageMagick; Krita; Darktable"
Cubase,"Audacity; DaVinci Resolve"
Darktable,"GIMP; ImageMagick; Krita; Darktable"
"DaVinci Resolve","Kdenlive; DaVinci Resolve; Audacity"
dbpoweramp,"Audacity; DaVinci Resolve"
Deadbeef,"VLC; Strawberry"
Deluge,"Transmission; qBittorrent"
digiKam,"GIMP; ImageMagick; Krita; Darktable; Geeqie"
"Disk Size Explorer",Filelight
Dooble,"Firefox; Chromium; Brave; Vivaldi; LibreWolf"
EditPlus,"Vim; Kate; Sublime Text"
Enve,"Blender; Krita"
Evernote,"Joplin; Xournal++"
Exaile,"VLC; Strawberry"
Falkon,"Firefox; Chromium; Brave; Vivaldi; LibreWolf"
Filmulator,"GIMP; ImageMagick; Krita; Darktable"
Firefox,"Firefox; Chromium; Brave; Vivaldi; LibreWolf"
Flexipdf,"Scribus; Inkscape; Okular"
FlightGear,Stellarium
"Folder sharing",Samba
"Forte Free Agent",Thunderbird
"Foxit reader","Evince; Zathura; Okular"
"fre:ac - free audio converter (freac)","HandBrake; VLC"
Frostwire,"Transmission; qBittorrent"
GIMP,"GIMP; ImageMagick; Krita; Darktable"
GIMPShop,"GIMP; ImageMagick; Krita; Darktable"
Glaxnimate,"Blender; Krita"
Glimpse,"GIMP; ImageMagick; Krita; Darktable"
GoldWave,"Audacity; DaVinci Resolve"
"Google Earth",Stellarium
Gravit,Inkscape
Handbrake,"HandBrake; VLC"
