windows_software,linux_equivalents_from_wiki
7-Zip,"Karchiver; File Roller; Xarchiver; ark; hjsplit command line tools"
Access,"Kexi; OOBase; LibreOffice Base"
ActiveSync,SynCE
"Add/Remove programs","apt-get; Aptitude; portage; rpm; urpmi; yast; yum; Synaptic; Snapcraft (Snap)"
aMule,aMule
"Aptana Studio","Google Web Designer (WYSIWYG); Bluefish Editor; Aptana Studio; SeaMonkey; CodeLobster"
"Bitvise Tunnelier",gSTM
"Bluefish Editor","Google Web Designer (WYSIWYG); Bluefish Editor; Aptana Studio; SeaMonkey; CodeLobster"
"Bullet Proof FTP","FileZilla FTP Client; KFTP (KFTPGrabber); Kasablanca; FireFTP; Konqueror; KBear; gFTP; CrossFTP; Nautilus"
chkdsk,"fsck; other tools"
"Cobian Backup","LuckyBackup; Déjà Dup; Grsync; Duplicati"
CodeLobster,"Google Web Designer (WYSIWYG); Bluefish Editor; Aptana Studio; SeaMonkey; CodeLobster"
"Corel WordPrefect","LibreOffice Calc; Calligra Sheets; Softmaker Office PlanMaker; WPS Spreedsheets; OOCalc; gnumeric; OnlyOffice Desktop"
CuteFTP,"FileZilla FTP Client; KFTP (KFTPGrabber); Kasablanca; FireFTP; Konqueror; KBear; gFTP; CrossFTP; Nautilus"
"Daemon Tools","mount; Disk Image Mounter in Gnome/KDE; Furius ISO mount; AcetoneISO"
dBase,"Kexi; OOBase; LibreOffice Base"
Discjuggler,"K3b; XCDRoast; Brasero; Xfburn"
Disclib,gWhere
Dreamweaver,"Google Web Designer (WYSIWYG); Bluefish Editor; Aptana Studio; SeaMonkey; CodeLobster"
Dropbox,Rclone
Duplicati,"LuckyBackup; Déjà Dup; Grsync; Duplicati"
DVDStyler,"DVDStyler; Open DVD Producer; DeVeDe"
"Easy CD Creator","K3b; XCDRoast; Brasero; Xfburn"
eMule,aMule
EViews,"Stata; SPSS; PSPP; R-project; S-Plus; Gretl"
Excel,"LibreOffice Calc; Calligra Sheets; Softmaker Office PlanMaker; WPS Spreedsheets; OOCalc; gnumeric; OnlyOffice Desktop"
Exchange,"Citadel; zimbra; Open-Xchange"
"Fade In","Fade In; KIT Scenarist; Story Architect; Trelby; Scrite"
Filemon,syscalltrack
"FileZilla FTP Client","FileZilla FTP Client; KFTP (KFTPGrabber); Kasablanca; FireFTP; Konqueror; KBear; gFTP; CrossFTP; Nautilus"
"FileZilla FTP Client & Server","vsftpd; pure-ftpd"
"Final Draft","Fade In; KIT Scenarist; Story Architect; Trelby; Scrite"
